Viikko;Aurinkovoima;Tuulivoima;Vesivoima;Ydinvoima;Yhteistuotanto;Lämpövoima
Vko 1;0.00;7.92;4.26;11.20;9.79;0.96
Vko 2;0.00;0.00;0.00;0.00;0.00;0.00
Vko 3;0.00;0.00;0.00;0.00;0.00;0.00
Vko 4;0.00;0.00;0.00;0.00;0.00;0.00
Vko 5;0.00;0.00;0.00;0.00;0.00;0.00
Vko 6;0.00;0.00;0.00;0.00;0.00;0.00
Vko 7;0.00;0.00;0.00;0.00;0.00;0.00
Vko 8;0.00;0.00;0.00;0.00;0.00;0.00
Vko 9;0.00;0.00;0.00;0.00;0.00;0.00
Vko 10;0.00;0.00;0.00;0.00;0.00;0.00
Vko 11;0.00;0.00;0.00;0.00;0.00;0.00
Vko 12;0.00;0.00;0.00;0.00;0.00;0.00
Vko 13;0.00;0.00;0.00;0.00;0.00;0.00
Vko 14;0.01;17.15;21.61;20.84;28.19;1.46
