Tilastotiedot 15 mittaustuloksesta:
Kulutus oli yhteensä 153317754 kWh, ja keskimäärin 10221183.6 kWh.
Suurin kulutus, 10908486 kWh, tapahtui 31.03.2020 21:00.
Pienin kulutus, 9524914 kWh, tapahtui 03.01.2020 01:00.

Pvm;Tuotanto (GWh)
Kk 1;34.13
Kk 2;0.00
Kk 3;35.01
Kk 4;54.24
Kk 5;0.00
Kk 6;0.00
Kk 7;0.00
Kk 8;0.00
Kk 9;0.00
Kk 10;0.00
Kk 11;0.00
Kk 12;0.00
